,points,title,description,price,variety,region_1,region_2,province,country,winery
876,91,Kingston Family 2014 Lucero Syrah (Casablanca Valley),"Ripe, earthy black-fruit aromas are spicy and a bit lactic from oak, hence, the palate is full and creamy, but with a good acidic cut. Blackberry, herbal spice and cool toasty oak flavors finish warm and plump.",20.0,Syrah,,,Casablanca Valley,Chile,Kingston Family
889,91,Concha y Toro 2014 Gravas del Maipo Syrah (Buin),"This ripe, dark Maipo Syrah opens with slightly generic aromas of blackberry and black cherry. Rich, resiny and creamy on the palate, this tastes oaky at first; next come roasted spicy blackberry flavors in front of a minty finish with wood-spice notes and barrel-related tannins. Drink through 2021.",125.0,Syrah,,,Buin,Chile,Concha y Toro
933,86,Santa Ema 2015 Reserva Chardonnay (Leyda Valley),"Grassy aromas feature a note of green banana and yeast. This feels round but hardly chunky, with reasonable core acidity. Flavors of citrus and apple are simple and clean, while a lemon-lime note and a hint of honey take care of the ending.",14.0,Chardonnay,,,Leyda Valley,Chile,Santa Ema
940,86,Viña Requingua 2014 Puerto Viejo Estate Bottled Reserve Carmenère (Curicó Valley),"Dry, mild, dusty berry aromas are simple but correct for the variety. This feels scattered across the palate, with some stickiness. Resiny, oaky, buttery flavors of generic berry fruits finish short, with a mild but lasting green note.",10.0,Carmenère,,,Curicó Valley,Chile,Viña Requingua
942,90,MontGras 2014 Antu Syrah (Colchagua Valley),"Loam, berry, lavender and spice aromas are all welcoming. This is full in body—solidly structured and tannic. Savory to the max flavors of peppery berries finish tight and juicy. Drink through 2020.",23.0,Syrah,,,Colchagua Valley,Chile,MontGras
974,85,Viña Bisquertt 2014 La Joya Gran Reserva Gewürztraminer (Colchagua Valley),"Tropical fruit and white-flower aromas are foxy and strained. This is scattered and flabby on the palate, with pithy, lightly bitter citrus flavors blending with sweet mango in front of a tropical finish with papaya, mango and sugary melon notes.",11.0,Gewürztraminer,,,Colchagua Valley,Chile,Viña Bisquertt
985,85,Indomita 2014 Duette Premium Chardonnay (Casablanca Valley),"An oaky bouquet is led by vanilla and sawdust aromas. This is chunky and round on the palate, with woody flavors of green-leaning stone fruits. The finish is oaky and creamy in feel, with moderate flavors of peach and nectarine.",18.0,Chardonnay,,,Casablanca Valley,Chile,Indomita
989,85,Alto Los Romeros 2012 Reserva Cabernet Sauvignon (Colchagua Valley),"Smoky, cooked berry aromas lead to a full, flabby, rubbery-feeling palate with baked black-fruit flavors that suggest baking spices. A soft finish is low on verve and tastes a bit sugary and sweet.",12.0,Cabernet Sauvignon,,,Colchagua Valley,Chile,Alto Los Romeros
1106,92,Matetic 2007 EQ Syrah (San Antonio),"Pure, inviting and open, with cedar, tobacco, blackberry, earth and cookie dough aromas scattered all over a robust bouquet. Deep but fresh, with fine balance and a bold, jammy set of blackberry and black-pepper flavors. Finishes well, with integration and easygoing tannins. Drink now through 2013.",43.0,Syrah,,,San Antonio,Chile,Matetic
1117,92,Errazuriz 2007 La Cumbre Syrah (Aconcagua Valley),"A smooth, modern and rich version of Chilean Syrah that's bringing it. The nose is full of mineral, graphite, coconut and heavenly black fruit, while the palate is bright, pure and delicious as it leans toward black-currant liqueur, blackberry and boysenberry. Fruity to the max, with a meaty finish and plenty of body. Drink now through 2013.",120.0,Syrah,,,Aconcagua Valley,Chile,Errazuriz
1213,86,Montes 2007 Classic Series Cabernet Sauvignon (Colchagua Valley),"Good but common as Chilean Cabs go. It's a jumbled mass of bulky fruit, raw power, sweet oak and spice. The mouthfeel is tannic, grabby and big, while the flavors of black cherry and raspberry are nice but generic. Finishes with spice and a hint of hickory. 20,000 cases produced.",12.0,Cabernet Sauvignon,,,Colchagua Valley,Chile,Montes
1214,86,Aresti 2008 Estate Selection Chardonnay (Curicó Valley),"Here's a simple, standard Chardonnay that is more neutral than anything, but at this level that's really what one should expect. The palate is a touch chunky and warm, with flavors of melon and citrus. And the finish is citric, with a little sugar and also a spot of pithy bitterness.",13.0,Chardonnay,,,Curicó Valley,Chile,Aresti
1222,85,Ventisquero 2007 Reserva Cabernet Sauvignon (Colchagua Valley),"Slightly brambled on the nose, but more than that there's a strong essence of candied fruit, marshmallow and overt sweetness to the bouquet. Once it settles, the wine offers creamy, candied red-fruit flavors and then a sweet, slightly tannic finish. Wide and voluminous, but not overly refined. 25,000 cases made.",13.0,Cabernet Sauvignon,,,Colchagua Valley,Chile,Ventisquero
1349,87,Domaines Barons de Rothschild (Lafite) 2010 Los Vascos Cabernet Sauvignon (Colchagua Valley),"Solid and sturdy up front, with earthy berry and cassis aromas. Feels lively and a bit grabby, with plenty of red fruit in the plum and berry range. Finishes with a hint of smoky oak and toast. A good wine from a cool vintage.",11.0,Cabernet Sauvignon,,,Colchagua Valley,Chile,Domaines Barons de Rothschild (Lafite)
1352,87,Haras 2007 Character Cabernet Sauvignon-Carmenère (Maipo Valley),"Smells a little volatile, but with airing there's enough baked fruit, leafiness, olive and tobacco to set things straight. Choppy and tannic on the palate, with herbal flavors of casssis, coffee and toast. Leafy and tasting of tobacco and olives on the finish. Drink now; contains 23% Syrah and Cab Franc in addition to CS and Carmenère.",20.0,Cabernet Sauvignon-Carmenère,,,Maipo Valley,Chile,Haras
1410,88,Tarapaca 2005 Zavala Red (Maipo Valley),"Mainly Cabernet Sauvignon, with 7% Syrah and 6% Merlot, this presents wonderfully pure, expressive notes of mint, cassis and vanilla. It just lacks that extra touch of textural richness to put it in the top category. A prebottling sample of the 2007 was more impressive.",26.0,Red Blend,,,Maipo Valley,Chile,Tarapaca
1411,88,Tarapaca 2008 La Isla Gran Reserva Sauvignon Blanc (Leyda Valley),"Tomato leaf and nettle aromas join with grapefruit and tropical fruit. This is both more pungent and rounder than the Reserva, with greater concentration and verve.",18.0,Sauvignon Blanc,,,Leyda Valley,Chile,Tarapaca
1492,88,Kingston Family 2016 CJ's Barrel Sauvignon Blanc (Casablanca Valley),"Aromas of field greens and wax bean are restrained on the nose. This has a round palate with citric acidity. Flavors of briny green fruits finish slightly closed and bitter. This wine reflects the 2016 vintage which was a cloudy, wet one in Casablanca.",26.0,Sauvignon Blanc,,,Casablanca Valley,Chile,Kingston Family
1503,88,Montes 2015 Alpha Carmenère (Colchagua Valley),"This opaque Carmenère opens with oaky, charred aromas of black fruits, coconut and burnt toast. The palate is full, meandering and ultimately heavy and extracted. Dark, toasty flavors of black fruits, resiny oak and vanilla finish with grabby tannins, spiky acidity and long-lasting blackened notes.",22.0,Carmenère,,,Colchagua Valley,Chile,Montes
1567,86,Terrapura 2015 Pinot Noir (Chile),"For value-priced Pinot, give this its props for being fair and consistent with past vintages. On the nose, this smells a bit furry and spicy, with meaty plum and tea notes. A medium-bodied palate feels a touch resiny, while this tastes of spice, wood and ripe red fruits.",11.0,Pinot Noir,,,Chile,Chile,Terrapura
1626,89,Luis Felipe Edwards 2012 Cien 100 Ancient Vines Carignan (Maule Valley),"Gritty but ripe and earthy dark-fruit aromas are spicy and alert. This Carignan from centenary vines feels angular and slightly acidic and tannic. Toasty oak flavors complement plum fruit, while this is bright, fresh and racy on the finish.",35.0,Carignan,,,Maule Valley,Chile,Luis Felipe Edwards
1808,87,Siegel 2011 Crucero Reserva Chardonnay (Maipo Valley),"A bit oily and fleshy on the bouquet, with toasty oak aromas. It feels good, with a proper meshing of acidity and body weight. Flavors of orange and apple come with oak-based cinnamon notes, while the finish is tropical, warm and long.",13.0,Chardonnay,,,Maipo Valley,Chile,Siegel
1816,87,Montes 2011 Classic Series Sauvignon Blanc (Casablanca Valley),"Varietally and regionally correct, with green, grassy, punchy aromas of citrus, white pepper and jalapeño. This is prickly in the mouth, with lively acidity and flavors of lime, scallion, green apple and bell pepper. It finishes with cut and juicy acids.",12.0,Sauvignon Blanc,,,Casablanca Valley,Chile,Montes
1820,87,El Huique 2009 Reserve Carmenère (Colchagua Valley),"A jammy raspberry aroma comes with a herb note and a pinch of varietal green. The palate is fresh, forward and well balanced, a nice home for plum, cherry and herb flavors. On the finish this is clean and fairly light in body, with some snappiness.",18.0,Carmenère,,,Colchagua Valley,Chile,El Huique
1842,89,Errazuriz 2016 Max Reserva Sauvignon Blanc (Aconcagua Costa),"Pungent stony citrus aromas include a distinct whiff of passion fruit. This feels tight, crisp and elegant on the palate, while slightly salty citrus flavors suggest grapefruit and sea brine. A briny finish retains snap and freshness.",20.0,Sauvignon Blanc,,,Aconcagua Costa,Chile,Errazuriz
1851,89,Concha y Toro 2014 Marques de Casa Concha Carmenère (Peumo),"Cheesy smelling oak and slightly overripe fruit aromas are a little less than spotless on the nose. In the mouth, this is raw and saucy in feel, with biting tannins. Sauvage berry flavors are gamy, while this is drying, scratchy and rugged on the finish. Drink through 2022.",26.0,Carmenère,,,Peumo,Chile,Concha y Toro
1896,91,Von Siebenthal 2008 Toknar Petit Verdot (Aconcagua Valley),"An intriguing, well-made wine, it conveys saucy red-fruit aromas that come with notes of raw oak, leather and herbs. It smacks the palate with hard tannins and raw verve, while flavors of vanilla, mocha, licorice and berry fruits finish crisp and woody. Drink through 2017.",100.0,Petit Verdot,,,Aconcagua Valley,Chile,Von Siebenthal
1899,91,Koyle 2009 Auma Los Lingues Red (Colchagua Valley),"Dark berry, shoe polish and lemony oak are at the center of the bouquet on this blend of Malbec, Cabernet Sauvignon, Syrah and Petit Verdot. The palate feels rich to the point of syrupy, while the flavor profile offers a condensed, jammy mix of wild berries, wood, herbs, chocolate and coffee. Additional herbal notes along with spicy flavors carry a thick finish to its conclusion. Drink through 2018.",100.0,Red Blend,,,Colchagua Valley,Chile,Koyle
1904,89,Matetic 2012 Corralillo Cabernet Sauvignon (Maipo Valley),"Rich, oaky aromas of coconut and vanilla are matched by earthy, almost nutty berry and cassis scents. This is tannic, grabby and slightly abrasive, while chocolate, cherry and cassis flavors end long, strong and ripe. Drink through 2018.",30.0,Cabernet Sauvignon,,,Maipo Valley,Chile,Matetic
2017,86,Ventisquero 2009 Reserva Chardonnay (Casablanca Valley),"Pretty good, sturdy and clean. The nose shows good white fruits and minerally notes, with a bit of toast. In the mouth, it's healthy and sweet, with tropical flavors of melon and papaya along with creamy pear. Finishes sweet, with some vanilla.",10.0,Chardonnay,,,Casablanca Valley,Chile,Ventisquero
2019,86,Viña Requingua 2009 Toro de Piedra Reserva Syrah-Cabernet (Curicó Valley),"Blackberry and balsam wood are the key aromas, but there's a pinch of cumin in there too. The palate is wide, broad and tannic, with leathery, roasted flavors of dark berry and black plum. Finishes savory and a bit salty, with a clacky, hard, tannic residue.",14.0,Syrah-Cabernet,,,Curicó Valley,Chile,Viña Requingua
2028,86,Domaines Barons de Rothschild (Lafite) 2010 Los Vascos Sauvignon Blanc (Casablanca Valley),"Pungent and sweaty smelling, with nettle and other sharp aromas. Surprisingly, the palate is short on acidity so there's a flat feel along with green, salinic flavors that border on vegetal. For proof, there's a clear wave of asparagus to the finish. Not as good as in past years.",14.0,Sauvignon Blanc,,,Casablanca Valley,Chile,Domaines Barons de Rothschild (Lafite)
2065,87,De Martino 2015 Legado Reserva Sauvignon Blanc (Casablanca Valley),"Pungent briny citrus aromas announce a lean, tangy palate. This edgy SB features zesty, sharp citrus and green-herb flavors, which are typical for Casablanca. A dilute finish displays watered-down snap.",20.0,Sauvignon Blanc,,,Casablanca Valley,Chile,De Martino
2071,87,Alcance 2014 Gran Reserva Merlot (Maule Valley),Minty oaky aromas of baking spices share space on the nose with earthy black plum and berry notes. This feels tannic and resiny while the oaky spicy berry flavors finish with force and drying tannins.,22.0,Merlot,,,Maule Valley,Chile,Alcance
2092,87,Leyda 2014 Single Vineyard Canelo Syrah (Leyda Valley),"Proprietary cool-climate aromas of spicy meaty black fruits are suggestive of peas. While this is raw, choppy and bumpy in feel, it's not ponderous. Roasted salty meaty plum flavors are spicy, while this remains herbal in character but fresh on the finish.",20.0,Syrah,,,Leyda Valley,Chile,Leyda
2153,84,Finca Patagonia 2015 Expedicion Merlot (Maule Valley),"Burnt and herbal plum and berry aromas are just good enough. This feels clampy due to hard tannins. Medicinal plum and cherry flavors come with a forced-oak element, while this is dry and tannic on a hollow finish.",12.0,Merlot,,,Maule Valley,Chile,Finca Patagonia
2155,84,Santa Rita 2016 120 Reserva Especial Cabernet Sauvignon (Central Valley),"Creamy aromas of milk chocolate and berry fruits set up a moderately gripping palate. Nonspecific berry and clove flavors finish plump and chewy, with a strong oak character on the close.",8.0,Cabernet Sauvignon,,,Central Valley,Chile,Santa Rita
2156,84,Santa Rita 2016 120 Reserva Especial Rosé (Central Valley),"This red-colored rosé smells a bit briny, like pickled strawberry. The palate is somewhat round, with initial flavors of raspberry and strawberry that turn a bit peppery on the finish.",8.0,Rosé,,,Central Valley,Chile,Santa Rita
2160,84,De Martino 2015 Viejas Tinajas Muscat (Itata Valley),"This tan-colored Muscat was fermented and aged in clay amphora, hence the “viejas tinajas” name. Aromatically, this is strained and smells vaguely of apricot and citrus peel. The palate is drawing due to heavy skins contact during fermentation and aging, while a short set of bitter apricot flavors is more challenging than pleasurable. Better to wait for the 2016. This is past its prime.",43.0,Muscat,,,Itata Valley,Chile,De Martino
2164,84,Viña Chocalan 2016 Reserva Chardonnay (Maipo Valley),Yeasty aromas of white flowers and ham don't stir much interest. This feels medium in body and fairly bland. Yeasty flavors of vanilla and white fruits are more nondescript than particular.,12.0,Chardonnay,,,Maipo Valley,Chile,Viña Chocalan
2165,84,Viña La Fortuna 2013 Twelvestones Malbec (Lontué Valley),Creamy malty aromas of vanilla and baked berry fruits lead to an astringent palate with hard tannins. This Malbec tastes earthy and like baked berry fruits and coffee grounds. A grabby finish with clamping residual tannins makes for a rugged ending.,10.0,Malbec,,,Lontué Valley,Chile,Viña La Fortuna
2175,83,Kenos 2013 Tempranillo (Cachapoal Valley),"An incongruous mix of plastic, olive, oak and green berry aromas sets up an abrasive palate. This is strange at all checkpoints, with heavily oaked, leathery flavors of herbal berry fruits. A fiery finish that runs heavy on green notes is the close.",10.0,Tempranillo,,,Cachapoal Valley,Chile,Kenos
2180,83,Famiglia Meschini 2015 Unoaked Chardonnay (Casablanca Valley),"Aromas of pink grapefruit and passion fruit are more in the Sauvignon Blanc field than your typical Chardonnay. Citric and bouncy on the palate, this tastes of tart grapefruit, orange peel and salt, and it stays that way through the finish.",14.0,Chardonnay,,,Casablanca Valley,Chile,Famiglia Meschini
2183,86,Porta 2000 Chardonnay (Cachapoal Valley),"The gold luster is eye grabbing, and the nose doesn't back off as it yields cream, vanilla and toast atop tropical fruit. The mouth is full, with creamy pear and apple fruit and lots of oak. It's on the plus side in terms of power and weight, but it's largely balanced and clean.",9.0,Chardonnay,,,Cachapoal Valley,Chile,Porta
2187,86,Calina 2000 Reserve - Cabernet Sauvignon/Carmenere Red (Maule Valley),"A straight shot down blackberry lane. The palate is all about the fruit; it's got lots of texture, and maybe even some tannins to shed. Finishes with gravel, herb and a certain meatiness. The nose—wood and maybe a bit of mocha—is not its strength.",13.0,Cabernet Blend,,,Maule Valley,Chile,Calina
2191,86,Primus 1999 Red (Casablanca Valley),"The nose of this Augustin Huneeus-made wine shows soil, wood and a algae-greenness; the palate, blackberry and oak. Medium-bodied; finishes with dry tannins. 60% Carmenère, 30% Cabernet Sauvignon and 10% Merlot.",20.0,Red Blend,,,Casablanca Valley,Chile,Primus
2195,86,Errazuriz 2000 La Escultura Estate - Reserva Chardonnay (Casablanca Valley),"Attractive aromas of pear and coconut set the stage for clean, fruity pear and apple flavors. This wine is balanced, offering length on the palate and finish, but also defined flavors and freshness. By all indications it's well made, and best of all it tastes as it should. Best Buy.",10.0,Chardonnay,,,Casablanca Valley,Chile,Errazuriz
2201,85,Casa Julia 2000 Reserve Merlot (Maipo Valley),"Rustic and medium-bodied, this Merlot has a nice spiciness that would be a big hit at a backyard barbecue. There's some char on the nose, and a spicy-marinade note on the palate. Finishes with dryish tannins and outdoorsy, tree-bark flavors.",12.0,Merlot,,,Maipo Valley,Chile,Casa Julia
2220,85,Root:1 2015 Sauvignon Blanc (Casablanca Valley),A bland pickled nose announces a simple palate with just enough acidity to keep things upright. Mild flavors of orange and green herbs revert to pickled on the finish.,12.0,Sauvignon Blanc,,,Casablanca Valley,Chile,Root:1
2232,85,François Lurton 2015 Araucano Humo Blanco Edicion Limitada Pinot Noir (Lolol Valley),"Heavy, generic cherry aromas are a touch volatile. This feels full and bouncy, with juicy acidity. Flavors of black fruits are ripe but lack complexity, while this is hot and raspy on the finish.",14.0,Pinot Noir,,,Lolol Valley,Chile,François Lurton
2324,88,Autoritas 2013 Gran Reserva Cabernet Sauvignon (Colchagua Valley),"Licorice, blackberry, cassis and plum aromas are concentrated and fruity. This feels fresh, with choppy tartaric acidity creating high tones across the mouthfeel. Baked blackberry flavors are limited but good, while a jammy, black-fruit finish is smooth, with just enough bracing acidity.",17.0,Cabernet Sauvignon,,,Colchagua Valley,Chile,Autoritas
2325,88,Autoritas 2013 Gran Reserva Shiraz (Colchagua Valley),"Jammy boysenberry aromas are a touch oaky. Loud acidity gives zest and ring to cherry, plum and raspberry flavors. While this is a bit shear and hard on the palate, solid berry flavors along with cocoa and brown sugar make for a good ending.",17.0,Shiraz,,,Colchagua Valley,Chile,Autoritas
2391,86,Echeverria 2013 Classic Collection Sauvignon Blanc (Curicó Valley),"Saline and basic citrus aromas feed into a fresh, light-bodied palate with citrus, lettuce and minerally flavors. A modest, firm finish is light but clean. This epitomizes the good qualities of value-priced Chilean SB.",10.0,Sauvignon Blanc,,,Curicó Valley,Chile,Echeverria
2425,92,François Lurton 2011 Gran Araucano Cabernet Sauvignon (Colchagua Valley),"Lightly herbal, spicy aromas of tobacco, forest floor, juniper and pepper accent core blackberry, cassis and cherry aromas. This Cabernet is tight and mildly tannic, but not fierce or demanding. Ripe blackberry, coffee, mocha and vanilla flavors finish spicy, toasty and oaky. Drink through 2020.",35.0,Cabernet Sauvignon,,,Colchagua Valley,Chile,François Lurton
2426,92,Garage Wine Co. 2011 Lot #37 Maipo Alto Cabernet Sauvignon (Maipo Valley),"This small-lot Cab (350 cases) is classically Chilean at all check points. The nose is spicy and full of cassis and berry flavors along with tobacco, olive and mild eucalyptus notes. A bright, lively palate is bolstered by acidity, while plum and red-berry flavors are oaky, spicy and peppery, with a toasty, slightly rooty finish. Drink through 2020.",33.0,Cabernet Sauvignon,,,Maipo Valley,Chile,Garage Wine Co.
2472,82,François Lurton 2015 Hacienda Araucano Reserva Sauvignon Blanc (Lolol Valley),"Gritty, uric, green aromas come in front of a round palate with little cut. Vegetal, bitter flavors of bell pepper and grapefruit finish with another wave of bitterness.",14.0,Sauvignon Blanc,,,Lolol Valley,Chile,François Lurton
2474,82,Amayna 2012 Pinot Noir (Leyda Valley),"Heavy, raisiny aromas of cherry and chocolate are ominous. This feels thick, out of shape and awkward, with zero elegance. Weedy, raisiny, syrupy berry flavors finish fat, with a palpable note of cooked fruit.",35.0,Pinot Noir,,,Leyda Valley,Chile,Amayna
2476,81,Tres Palacios 2013 Reserve Merlot (Maipo Valley),"Green, soupy aromas of tomato are blatant and harsh. This is decent in terms of mouthfeel, but it reverts to herbaceous, leafy flavors of bell pepper and grass that finish with nothing but pyrazines.",11.0,Merlot,,,Maipo Valley,Chile,Tres Palacios
2477,81,Viña Requingua 2014 Los Riscos Malbec (Curicó Valley),"Aromas of mushroom, dirty water and mud puddle are far from inviting. Herbal, briny flavors of mushroom, salt and bitterness come with almost no fruit.",7.0,Malbec,,,Curicó Valley,Chile,Viña Requingua
2478,81,Aguirre 2014 Kunza Sauvignon Blanc (Maule Valley),"Almost neutral on the nose, an herbal arugula element finally emerges. The palate is light and crisp, with a bitter aftertaste.",9.0,Sauvignon Blanc,,,Maule Valley,Chile,Aguirre
2480,80,Aguirre 2014 Gaucho Andino Chardonnay (Maule Valley),"This has overripe tropical-fruit aromas on the nose. Wheaty, oxidized flavors finish with a note of mushy fruit.",7.0,Chardonnay,,,Maule Valley,Chile,Aguirre
2536,88,Santa Alicia 2009 Gran Reserva de Los Andes Cabernet Sauvignon (Maipo Valley),"This is a spicy number with a minty green aroma along with cherry, molasses and smoke notes. The mouthfeel is edgy and lively, while the flavors of vanilla, cocoa and herbal plum and berry are solid and composed. It's solid but a bit herbal on the finish.",15.0,Cabernet Sauvignon,,,Maipo Valley,Chile,Santa Alicia
2609,82,Viña Bisquertt 2013 Petirrojo Reserva Chardonnay (Colchagua Valley),"Candied white-fruit aromas are generic and rudimentary. This feels flat and doesn't show much life on the palate. Flavors of canned pear, oak and related spice finish bland.",10.0,Chardonnay,,,Colchagua Valley,Chile,Viña Bisquertt
2612,82,Llai Llai 2013 Sauvignon Blanc (Bío Bío Valley),"While the nose is pungent and true to the variety, there isn't much else positive to say about this cypher of a Sauvignon Blanc. The palate is plump yet fizzy, while the flavor profile offers citrus, bitterness and nothing more.",10.0,Sauvignon Blanc,,,Bío Bío Valley,Chile,Llai Llai
2613,82,Cousiño-Macul 2012 Chardonnay (Central Valley),"Mellow and floral on the nose, this turns loud and aggressive in the mouth. Candied lime and mango flavors finish rugged and screaming.",11.0,Chardonnay,,,Central Valley,Chile,Cousiño-Macul
2619,81,San Pedro 2013 Gato Negro Sauvignon Blanc (Central Valley),"With little varietal character on the nose, this qualifies as a basic, plump white wine with mild fruit, oily notes and some bitterness.",7.0,Sauvignon Blanc,,,Central Valley,Chile,San Pedro
2621,81,Garces Silva 2012 Boya Pinot Noir (Leyda Valley),"Odd aromas of pomegranate and grapefruit are off the grid. This is citric and austere in feel, with sour, herbal flavors mixed with oak. A minty, herbal, green finish raises questions.",22.0,Pinot Noir,,,Leyda Valley,Chile,Garces Silva
2623,81,Chilensis 2012 Reserva Chardonnay (Maule Valley),"Light and tropical on the nose, this is flabby on the palate and tastes dull and sweet, with a creamy aftertaste and low acidity.",10.0,Chardonnay,,,Maule Valley,Chile,Chilensis
2624,81,Vistamar 2012 Sepia Reserva Chardonnay (Casablanca Valley),"This perenially mediocre wine is a little worse in 2012. It smells blowsy, floral and strange, while in the mouth it's like oaky apple cider. Flavors of cider and faux oak are less than impressive, as is the overall balance.",12.0,Chardonnay,,,Casablanca Valley,Chile,Vistamar
2665,84,TerraNoble 2013 Gran Reserva White (Casablanca Valley),"If the blend of Riesling and Sauvignon Blanc isn't jarring enough, then the wine's combination of high acid and heavy oak should be. This smells like plywood and sawdust, while the palate is both racy and resiny. Oaky, toasty, bitter flavors of lemon and underripe nectarine hold onto a barrel-driven flavors on the finish.",18.0,White Blend,,,Casablanca Valley,Chile,TerraNoble
2670,83,Tololo 2013 Cabernet Sauvignon (Curicó Valley),"Cherry and berry aromas are a bit hot and saucy. This feels chunky and borderline sticky, with hard raspberry and plum flavors. This is marginal, even for basic commercial Cabernet.",10.0,Cabernet Sauvignon,,,Curicó Valley,Chile,Tololo
2672,83,Emiliana 2013 Natura Malbec (Rapel Valley),"Briary, herbal berry aromas take on a wet-dog scent. This feels shear and shrill, with high acidity and not much body. Sour black-plum flavors are highly herbal and borderline weedy, while a tart, scouring finish closes this out.",12.0,Malbec,,,Rapel Valley,Chile,Emiliana
2673,83,Falernia 2013 Reserva Pinot Noir (Elqui Valley),"Stalky, damp, funky aromas are not unusual for Elqui wines. This is mild in feel and registers as being in the Pinot Noir range. Rooty, bitter flavors are rustic and low on fruit. Heat on the finish is of no help.",14.0,Pinot Noir,,,Elqui Valley,Chile,Falernia
2675,83,Estampa 2014 Estate White (Colchagua Valley),"Bland, pithy citrus aromas come with notes of saline solution and pool water. This is 85% Viognier and 15% Chardonnay, and the body is plump but vague. Flavors of papaya and pickle juice finish green, briny and melony.",15.0,White Blend,,,Colchagua Valley,Chile,Estampa
